City,Name,Latitude,Longitude
Melbourne,AVALON,-38.039(S),144.469(E)
Melton,Melton Airport,-37.617(S),144.567(E)
Merimbula,MERIMBULA,-36.909(S),149.901(E)
Merluna,Merluna Airport,-13.065(S),142.454(E)
Merton,Merton Airport,-36.968(S),145.708(E)
Middlebrook Station,Middlebrook Station Scone Airstrip,-31.971(S),150.811(E)
Middlesex,Cradle Mountain Airport,-41.581(S),145.938(E)
Mildura,MILDURA,-34.229(S),142.086(E)
Milingimbi Island,MILINGIMBI,-12.094(S),134.894(E)
Miranda Downs,Miranda Downs Airport,-17.329(S),141.886(E)
Mitchell Plateau,Mitchell Plateau Airport,-14.791(S),125.824(E)
Moa Island,KUBIN,-10.225(S),142.218(E)
Moolawatana Station,Moolawatana Airport,-29.907(S),139.765(E)
Moranbah,MORANBAH,-22.058(S),148.077(E)
Moree,MOREE,-29.499(S),149.845(E)
Moreton,Moreton Airport,-12.444(S),142.638(E)
Morphett Vale,Huntfield Airfield,-35.173(S),138.494(E)
Moruya,MORUYA,-35.898(S),150.144(E)
Morwell,LATROBE VALLEY,-38.207(S),146.470(E)
Moulamein,Moulamein Airport,-35.058(S),144.021(E)
Mount Beauty,Mount Beauty Airport,-36.732(S),147.169(E)
Mount Gordon Mine,Mount Gordon Airport,-19.773(S),139.404(E)
Mount Gunson,Mount Gunson Airport,-31.460(S),137.174(E)
Mount Hotham,MOUNT HOTHAM,-37.047(S),147.334(E)
Mount Isa,MOUNT ISA,-20.664(S),139.489(E)
Muccan Station,Muccan Station Airport,-20.659(S),120.067(E)
Mudgee,MUDGEE,-32.562(S),149.611(E)
Mulara,Hedlow Airport,-23.223(S),150.605(E)
Mulga Park,[Duplicate] Mulga Park Airport,-25.860(S),131.650(E)
Mulka,Mulka Airport,-28.348(S),138.650(E)
Mundrabilla,Mundrabilla Airport,-31.867(S),127.854(E)
Mungeranie,Mungeranie Airport,-28.009(S),138.657(E)
Mungo,Mungo Lodge Airport,-33.746(S),143.001(E)
Murganella,Murgenella Airstrip,-11.549(S),132.914(E)
Murray Island,Murray Island Airport,-9.917(S),144.055(E)
Musgrave,Musgrave Airport,-14.776(S),143.505(E)
Myroodah,Camballin Airport,-18.125(S),124.272(E)
Nain,Hutt River Airstrip,-28.071(S),114.477(E)
Nambucca Heads,Nambucca Heads Airport,-30.650(S),153.000(E)
Nammuldi Mine,Nammuldi Mine Airstrip,-22.392(S),117.376(E)
Napperby,Napperby Airport,-22.531(S),132.763(E)
Narrabri,NARRABRI,-30.319(S),149.827(E)
Narrandera,NARRANDERA,-34.702(S),146.512(E)
Narrogin,Narrogin Airport,-32.930(S),117.080(E)
New Dixie,Dixie Airport,-15.117(S),143.316(E)
New Norcia,New Norcia airstrip,-30.967(S),116.215(E)
Newman,NEWMAN,-23.418(S),119.803(E)
Newry,Newry Airport,-16.044(S),129.264(E)
Nhulunbuy,GOVE,-12.269(S),136.818(E)
Nicholson,Gallipolli Airport,-19.142(S),137.874(E)
Noonkanbah,[Duplicate] Noonkanbah Airport,-18.495(S),124.852(E)
Normanton,NORMANTON,-17.684(S),141.070(E)
Nutwood Downs,Nutwood Downs Airport,-15.807(S),134.146(E)
Olympic Dam,OLYMPIC DAM,-30.485(S),136.877(E)
Orange,ORANGE,-33.382(S),149.133(E)
Ord River,Ord River Airport,-17.341(S),128.912(E)
Orientos,Orientos Airport,-28.060(S),141.536(E)
OZ Minerals Prominent Hill Mine,Prominent Hill Airport,-29.716(S),135.524(E)
Pakenham,Pakenham Airport,-38.099(S),145.488(E)
Paraburdoo,PARABURDOO,-23.171(S),117.745(E)
Pardoo,Pardoo Airport,-20.118(S),119.590(E)
Parkes,PARKES,-33.131(S),148.239(E)
Patjarr,Patjarr Airport,-24.619(S),126.327(E)
Penong,Penong Airport,-31.917(S),133.000(E)
Peppimenarti,Peppimenarti Airport,-14.144(S),130.091(E)
Perth,Langley Park Airstrip,-31.961(S),115.868(E)
Phosphate Hill,THE MONUMENT,-21.811(S),139.924(E)
Pinjarra,Pinjarra Skydiving Airstrip,-32.667(S),115.882(E)
Point Cook,POINT COOK,-37.932(S),144.753(E)
Pormpuraaw,PORMPURAAW,-14.897(S),141.609(E)
Port Hedland,PORT HEDLAND INTL,-20.378(S),118.626(E)
Port Lincoln,PORT LINCOLN,-34.605(S),135.880(E)
Port Macquarie,PORT MACQUARIE,-31.436(S),152.863(E)
Private Airfield in the Shire of Campaspe,Kyabram Airport,-36.332(S),144.972(E)
Proserpine,PROSERPINE WHITSUNDAY COAST,-20.495(S),148.552(E)
Redcliffe,Redcliffe Airport,-27.207(S),153.068(E)
Rewan,Ingelara Airport,-24.997(S),148.333(E)
Richmond,RICHMOND,-33.601(S),150.781(E)
Riddell,Riddell Airport,-37.480(S),144.718(E)
Robe,Robe Airport,-37.175(S),139.805(E)
Rockhampton,ROCKHAMPTON,-23.382(S),150.475(E)
Rockhampton Downs,Rockhampton Downs Airport,-18.953(S),135.201(E)
Roebourne,Roebourne Airport,-20.762(S),117.157(E)
Rokeby,Rokeby Airport,-13.643(S),142.641(E)
Roma,ROMA,-26.545(S),148.775(E)
Romsey,Romsey Airport,-37.392(S),144.738(E)
Roper Bar,Roper Bar Airport,-14.735(S),134.525(E)
Roper Valley,Roper Valley Airport,-14.921(S),134.050(E)
Rosella Plains,Rosella Plains Airport,-18.425(S),144.459(E)
Saibai Island,Saibai Island Airport,-9.378(S),142.625(E)
Sale,WEST SALE,-38.092(S),146.965(E)
Sandringham Station,Sandringham Airport,-24.057(S),139.082(E)
Sandstone,Sandstone Airport,-27.980(S),119.297(E)
Shaw River,Shaw River Airport,-21.510(S),119.362(E)
Shay Gap,Shay Gap Airport,-20.425(S),120.141(E)
Sherlock,Sherlock Ultralight Airfield,-35.320(S),139.793(E)
Siam,Siam Airport,-32.557(S),136.709(E)
Silver Plains,Silver Plains Airport,-13.975(S),143.554(E)
Singleton,Singleton Airport,-32.601(S),151.193(E)
South West Rocks,South West Rocks Airport,-30.925(S),153.028(E)
Springvale,Springvale Airport,-17.787(S),127.670(E)
Stradbroke Island,Dunwich Airport,-27.517(S),153.428(E)
Stuart Creek,Stuart Creek Airport,-29.717(S),137.063(E)
Sturt Creek,Sturt Creek Airport,-19.166(S),128.174(E)
Sue Islet,Warraber Island Airport,-10.208(S),142.825(E)
Sunbury,Penfield Airfield,-37.513(S),144.698(E)
Sydney,SYDNEY BANKSTOWN,-33.924(S),150.988(E)
Tamworth,TAMWORTH,-31.084(S),150.847(E)
Tanbar Station,Tanbar Airport,-25.848(S),141.928(E)
Tarcoola,Tarcoola Airport,-30.703(S),134.584(E)
Taree,TAREE,-31.889(S),152.514(E)
Tennant Creek,TENNANT CREEK,-19.634(S),134.183(E)
Tenterfield,Tenterfield Airport,-28.992(S),151.930(E)
Theda Station,Theda Station Airport,-14.788(S),126.496(E)
Thistle Island,Thistle Island Airport,-35.025(S),136.180(E)
Tilpa,Tilpa Airport,-30.933(S),144.417(E)
Tiwi College,Pickertaramoor Airstrip,-11.762(S),130.881(E)
Tobermorey,Tobermorey Airport,-22.256(S),137.953(E)
Tom Price,Tom Price Airport,-22.746(S),117.869(E)
Torquay,Torquay Airport,-38.300(S),144.365(E)
Torwood,Torwood Airport,-17.363(S),143.750(E)
Townsville,TOWNSVILLE,-19.253(S),146.765(E)
Trepell,TREPELL,-21.835(S),140.888(E)
Truro Flat,Truro Flat Airpark,-34.398(S),139.385(E)
Tumbarumba,Tumbarumba Airport,-35.763(S),147.887(E)
Turkey Creek,Turkey Creek Airport,-17.041(S),128.206(E)
Ucharonidge Station,Ucharonidge Airport,-17.672(S),134.241(E)
Upper Cornish Creek,Bowen Downs Airport,-22.464(S),144.998(E)
Wagga Wagga,WAGGA WAGGA,-35.165(S),147.466(E)
Wallal,Wallal Airport,-19.774(S),120.649(E)
Wanarn,Wanarn Airport,-25.298(S),127.556(E)
Wando Vale,Mount Full Stop Airport,-19.670(S),144.885(E)
Warakurna,Giles Airport,-25.044(S),128.296(E)
Warkworth,Warkworth Airport,-32.549(S),151.024(E)
Warnervale,Warnervale Airport,-33.240(S),151.430(E)
Warrawagine,Warrawagine Airport,-20.844(S),120.702(E)
Warroora Homestead,Warroora Homestead Airport,-23.446(S),113.849(E)
Warroora Station,Warroora Station Airstrip,-23.475(S),113.799(E)
Wauchope,Wauchope Airport,-20.650(S),134.217(E)
Waverney,Waverney Airport,-25.356(S),141.925(E)
Weipa,WEIPA,-12.679(S),141.925(E)
Wellcamp,Brisbane West Wellcamp Airport,-27.558(S),151.793(E)
Welshpool,Welshpool Airport,-38.682(S),146.445(E)
West Wyalong,WEST WYALONG,-33.937(S),147.191(E)
Whyalla,WHYALLA,-33.059(S),137.514(E)
Wickham,Wickham Airport,-20.676(S),117.125(E)
Williamtown,WILLIAMTOWN,-32.795(S),151.834(E)
Wondoola,Wondoola Airport,-18.575(S),140.892(E)
Woodie Woodie,Woodie Woodie Airport,-21.663(S),121.234(E)
Woodycupaldiya,Woodycupaldiya Airfield,-13.867(S),129.988(E)
Woomera,WOOMERA,-31.144(S),136.817(E)
Wyalkatchem,Wyalkatchem Airport,-31.203(S),117.379(E)
Yalata Mission,Yalata Mission Airport,-31.471(S),131.825(E)
Yalgoo,Yalgoo Airport,-28.355(S),116.684(E)
Yam Island,Yam Island Airport,-9.901(S),142.776(E)
Yeelirrie,Yeelirrie Airport,-27.277(S),120.096(E)
York,White Gum Air Park,-31.864(S),116.936(E)
Yorke Island,Yorke Island Airport,-9.753(S),143.406(E)
